,Company_Name,Job_Summary,Job_Title,Link,Location,Posting_Age
0,"
San Francisco Employees' Retirement System","Established in 1889 as a fund for families and orphans of firefighters and police officers, today the San Francisco Employees’ Retirement System serves more...",Senior Portfolio Manager – Private Equity,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D5BQuyEQF5VPTepQEMlmjqa8Q9qUEkZEgNhFw52y0z95uzIkGCxFlDmOUP8385YtUN7kDPdsvIMvWasEBWxQPWTyYpL8BCnlpr0aHd1KIR67_hpn6ivvOaz1WqAZTGb5ZEFeesMSB-zXHprvNDBJsNTeiOUZ3_yE2iQ362T82HxeCFDElKgg1EEAQnWavHbm-uiVP-7BdwF6pBIGDLSVCLaQnKAoTFjzm91H3l4a4kLPQDa_CSt0ENcfFLIkiYjkb8cTmNBsXfAYWqxiOXQD2TvWS0V1Yzz3Hh81OqR_7BeMP2UUT30IwEe8wv3HqT5hRnw_ftLJYPHxgmHAm9fVP-CGYlMiZAaS-mZMSrDNGKmBNk-gOX74cJBV3uN46pHaQW78zskzQLTEGe_VmAz0-YWYQbr0xPjaiBkRGi9ZFNd42lYqhEm8iWRm-eUaMLr68-58BueFzi3A==&p=1&sk=&fvj=0,"San Francisco, CA",No age found
1,"

Motorola Solutions","We help firefighters see around buildings and police officers see around street corners.. At Motorola Solutions, we help people be their best in the moments...","RF Network Systems Technologist - San Bruno, CA",www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dk4SAOkRj2qh8c0bq3DNnCqVpYO-iD86R3v91P7SScVpjeFmVykIb8fni_6wP90IvSRzUDAHqk8jN3W5anuoTiSgddWAekbD5_VXquijBneEiTPaOQyMHla8NrmalQEe8_GiRhwRVbiy2BzvDbuFkuogleLE4llVja_1huTc6ymLFQcz5mVFY-XBM6Hl8gUtmgQCcZrOKI1QWKPnIUYV04N1vXjOsUms7E29Bxme970xLX0REXAgGfdEPQsz4ILzVpsZtCOoO_-mtFwihcSALx559UmCZg_3F4aiKuBBn7RMVTbSeHfKcYlGLu1oAufIfxYYRxRyeDhkmMBBYvWU16coa6Och__0UulHhmGGDdt9mmeNDO0fflAYj7i3IacuB1Doj4ew7j_GKUKIhtWKswjaA-vguVnIOgukjts1PDlJ9i2DhUrt0MU0EfWDPLFbd_ZIkWV0QsSzCc1mwcggyJEVnYQHq2C5wQIdVfPUVobTj8LVhwxDrv&p=2&sk=&fvj=0,"San Bruno, CA",No age found
2,"

Delta Air Lines","Experience in a role ensuring the safety and/or care of others (teacher, military, EMT, firefighter, coach, law enforcement, lifeguard, nurse, Peace Corps, etc....",Flight Attendant,www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C73I6xvg-FdENTBJhCXW88j8SdSPqKQg4CxL5nian3yQslwxY4Pi1SxUYRx1T4XWeqwmV2pBnEzlsOe0dsBI0oh2Sh58_OlP-Yhfolr9sMRjUdcbN639L1Fgm8HOVyj8Po-eIsHgnqQWtZC1Evdls3reNISOhYKrgLBZoJaIYk81Kduin4ZIRHYbxDJcjqtATzyjV0HONGm5dFPFpEvKiCsE34hqX7POSXCgDaqPjJYjHbHdSiwWJejRCoX3j-qJ-pz1tlifaWVAG-8DUkXZlqykIEl2rAr7kQZ1effu_kZ6Ihl-cyPg0jrEb1jGMiSBjAGAhsOjjN27NsDoSeT-c56h7sIdgSfM0gy0LM9-PlKBb5Fiz-hqVkuukl9qQMlMLm1Ejaf0XC1Al8LxUn-06LK6UHVhjpxlCPkDh3IvzAZyiGybzvTdgpjYFoaNA_RBBKXXaE0crFgGPcL4tI-07A&p=3&sk=&fvj=0,United States,No age found
3,"


City of Hayward
","
Time spent by Firefighter Trainees as trainees, will be counted toward their probationary period as Firefighters....",Firefighter Trainee,www.indeed.com/rc/clk?jk=342007f59eac392b&fccid=fb2a659497226786,"Hayward, CA 94544 (Tennyson-Alquire area)",6 days ago
4,"


City of Hayward
","
The Firefighter must complete the departments 6 week introductory Fire Academy, the Firefighter must successfully complete a probationary period of one year....",Firefighter (Lateral),www.indeed.com/rc/clk?jk=d3e88e82e3c46ac0&fccid=fb2a659497226786,"Hayward, CA 94544 (Tennyson-Alquire area)",6 days ago
5,"


SF Fire Credit Union
","
We’re proud of these roots, which trace back to 1951 when a small group of firefighters formed a member-owned financial cooperative for their fellow...",Collections Manager,www.indeed.com/rc/clk?jk=6cedec4332a1e194&fccid=6aa60285827fc226,"San Francisco, CA 94118 (Inner Richmond area)",6 days ago
6,"


Untied States Army
","
Criminal Investigations Special Agent, Firefighter, Internment/Resettlement Specialist, Army Judge Advocate Generals Corps Attorney, Military Police, Military...",US Army Legal and Law Enforcement Positions,www.indeed.com/company/U.S.-Army/jobs/US-Army-Legal-Law-Enforcement-Position-bc9eb6ba7c2dc419?fccid=c3b8389ba1f05d96,"Hayward, CA 94545 (Glen Eden area)",13 days ago
7,"


Untied States Army
","
Animal Care Specialist, Biomedical Equipment Specialist, Cardiovascular Specialist, Combat Medic Specialist, Dental Specialist, Ear Nose and Throat Specialist,...",US Army Medical and Emergency,www.indeed.com/company/U.S.-Army/jobs/US-Army-Medical-Emergency-565a1e3addbaddda?fccid=c3b8389ba1f05d96,"Hayward, CA 94545 (Glen Eden area)",13 days ago
8,"


City of Oakland, CA
","
They also investigate crimes such as burglary, robbery, assault, and disturbing the peace, and assist firefighters and emergency medical technicians....",Police Officer Trainee (180B),www.indeed.com/rc/clk?jk=d1788c48f7d1f24f&fccid=ecf39f312b86cb18,"Oakland, CA",30+ days ago
9,"


Town of Hillsborough
","
Completion of a Fire Academy or Firefighter 1 certification is highly desirable. You must apply via FCTC - link here for that information....",Firefighter/Paramedic,www.indeed.com/rc/clk?jk=d9fe38ec8c5dc2af&fccid=adffadba8ba83980,"Burlingame, CA 94010",10 days ago
10,"


Motorola Solutions
","
We help firefighters see around buildings and police officers see around street corners. At Motorola Solutions, we help people be their best in the moments that...","Sr System Engineer - San Bruno, CA",www.indeed.com/rc/clk?jk=37a3b319b0fee5c4&fccid=22ec6ef3cc441ac2,"San Bruno, CA",30+ days ago
